customer_id,first_name,last_name,email,status,signup_date,amount,updated_at,region,source_system
C00001,Jacob,Johnson,jacob.johnson@company.com,INACTIVE,2022-05-17,3083.5,2022-06-22 00:00:00,NORTH,CRM
C00002,Benjamin,White,benjamin.white@company.com,INACTIVE,2022-03-24,8.72,2022-08-01 00:00:00,NORTH,ERP
C00003,James,Clark,james.clark@retailgroup.net,PENDING,2023-07-09,1692.33,2023-07-11 00:00:00,SOUTH,POS
C00004,Michael,Moore,michael.moore@example.org,PENDING,2025-04-13,810.16,2025-05-10 00:00:00,NORTH,POS
C00005,Priya,Thomas,priya.thomas@delta.io,ACTIVE,2025-07-11,2488.1,2025-11-06 00:00:00,NORTH,POS
C00006,Alex,Garcia,alex.garcia@delta.io,PENDING,2024-06-20,3463.03,2024-11-15 00:00:00,SOUTH,CRM
,,Guest,,BLOCKED,2022-07-22,278.06,2021-03-22 00:00:00,NORTH,POS
C00008,Liam,Harris,liam.harris@delta.io,INACTIVE,2022-12-29,582.67,2023-06-19 00:00:00,EAST,CRM
C00009,Harper,Clark,harper.clark@example.org,INACTIVE,2022-05-17,2187.48,2022-09-13 00:00:00,WEST,WEB
C00010,Jacob,Lewis,jacob.lewis@retailgroup.net,ACTIVE,2022-10-27,828.74,2022-12-25 00:00:00,NORTH,WEB
C00012,Ethan,Moore,invalid-email,ACTIVE,2022-05-14,3152.54,2023-09-05 00:00:00,WEST,POS
C00012,Jack,Clark,jack.clark@northwind.ai,INACTIVE,2021-10-13,497.21,2022-03-06 00:00:00,EAST,POS
C00013,Jack,Martinez,,NEW,2024-01-22,321.54,2022-04-07 00:00:00,WEST,CRM
,,Guest,,BLOCKED,2021-03-25,-1148.46,2022-10-01 00:00:00,WEST,CRM
C00015,Ethan,Jackson,ethan.jackson@retailgroup.net,PENDING,2023-12-20,4183.24,2024-05-10 00:00:00,NORTH,CRM
C00016,Ella,Garcia,ella.garcia@delta.io,ACTIVE,2022-11-28,3200.35,2023-02-12 00:00:00,WEST,ERP
C00017,Mason,Smith,mason.smith@delta.io,INACTIVE,2025-04-10,4078.56,2025-08-18 00:00:00,NORTH,WEB
C00018,Leo,Clark,leo.clark@retailgroup.net,PENDING,2021-11-10,2510.75,2021-12-22 00:00:00,NORTH,WEB
C00020,Ava,Smith,priya.thomas@delta.io,SUSPENDED,2020-08-25,2167.84,2020-11-24 00:00:00,WEST,CRM
C00020,Henry,Garcia,henry.garcia@example.org,INACTIVE,2023-09-01,434.65,2023-11-08 00:00:00,WEST,ERP
,,Guest,,SUSPENDED,2023-06-30,-582.32,2024-10-20 00:00:00,WEST,CRM
C00023,Emma,Wilson,invalid-email,ACTIVE,2023-10-16,-415.86,2022-12-29 00:00:00,SOUTH,CRM
C00023,Alex,Lewis,alex.lewis@company.com,PENDING,2021-03-06,869.03,2021-03-25 00:00:00,SOUTH,WEB
C00024,Ella,Martin,ella.martin@example.org,NEW,2025-01-21,2209.49,2025-03-25 00:00:00,WEST,POS
C00025,Noah,Johnson,noah.johnson@company.com,NEW,2022-12-27,2726.81,2023-04-12 00:00:00,WEST,CRM
C00026,Ella,Clark,,ACTIVE,2020-09-05,715.64,2023-12-16 00:00:00,SOUTH,ERP
C00027,Noah,Garcia,noah.garcia@northwind.ai,PENDING,2022-01-11,485.59,2022-05-10 00:00:00,SOUTH,CRM
,,Guest,,UNKNOWN,2021-02-05,-1383.65,2020-04-18 00:00:00,SOUTH,ERP
C00029,Charlotte,Martin,charlotte.martin@northwind.ai,ACTIVE,2023-04-02,803.39,2023-05-15 00:00:00,WEST,CRM
C00030,Ethan,Moore,ethan.moore@northwind.ai,NEW,2024-11-27,1112.28,2025-01-06 00:00:00,SOUTH,WEB
C00031,Noah,Jones,noah.jones@retailgroup.net,PENDING,2021-05-05,3058.38,2021-05-20 00:00:00,NORTH,POS
C00032,Lucas,Thompson,lucas.thompson@example.org,ACTIVE,2023-11-07,125.72,2023-12-25 00:00:00,NORTH,CRM
C00034,Ella,Wilson,invalid-email,NEW,2021-05-06,3266.38,2023-03-03 00:00:00,NORTH,CRM
C00034,Charlotte,Rodriguez,charlotte.rodriguez@retailgroup.net,PENDING,2022-10-10,2321.78,2022-12-02 00:00:00,EAST,ERP
,,Guest,,,2024-06-09,-1198.98,2024-01-03 00:00:00,EAST,CRM
C00036,John,Harris,john.harris@retailgroup.net,ACTIVE,2021-07-24,4193.32,2021-12-09 00:00:00,SOUTH,WEB
C00037,Daniel,Thomas,daniel.thomas@company.com,PENDING,2023-01-27,3678.45,2023-03-09 00:00:00,WEST,WEB
C00039,Harper,Hall,jacob.thompson@company.com,,2021-02-28,8450.37,2021-07-21 00:00:00,NORTH,CRM
